Index	FileName	ScanNum	FeatureIndex	TargetDecoyType	RetentionTime	MassCountInSpec	AverageMass	MonoisotopicMass	SumIntensity	MinCharge	MaxCharge	PeakCount	IsotopeCosine	ChargeCosine	ChargeScore	MassSNR	ChargeSNR	AveragePPMError	RepresentativeCharge	RepresentativeMzStart	RepresentativeMzEnd	Qscore	Qscore2D	Qvalue
20	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	27992.018396	27974.492641	562279	59	93	547	0.967148	0.976086	0.833725	69.9372	311.979	2.58553	85	330.213562	330.413971	0.843720	0.843720	0.0195253
21	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	28923.568789	28905.529851	126046	36	47	179	0.980094	0.989109	0.815657	170.758	707.753	1.0877	46	629.632507	630.037231	0.895739	0.895739	0.0112135
22	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	28924.611954	28906.573016	372720	36	60	427	0.97307	0.994439	0.700992	97.8215	1397.49	2.15197	47	616.253479	616.615845	0.904279	0.904279	0.00937185
23	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	29902.747027	29884.109743	296672	40	61	359	0.966914	0.994062	0.825956	107.843	1326.13	1.39453	49	611.092773	611.457153	0.879701	0.879701	0.0135614
24	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	31514.901210	31495.208002	1.27679e+06	52	85	621	0.986179	0.993245	0.855483	111.695	1193.28	1.90167	68	464.319305	464.643829	0.932486	0.932486	0.000918274
25	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	31515.903284	31496.210077	1.33319e+06	59	93	678	0.989599	0.998525	0.837323	436.846	5508.43	1.73919	68	464.319305	464.643829	0.945365	0.945365	0
26	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	32134.718449	32114.643957	1.15562e+06	37	80	749	0.9867	0.998767	0.861242	473.936	6679.15	2.81027	61	527.622803	528.001892	0.941899	0.941899	0
27	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	32135.814792	32115.740300	418818	35	53	290	0.996276	0.997985	0.927711	1541.23	4083.22	1.98456	48	670.295898	670.752930	0.935461	0.935461	0.000918274
28	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	32710.886770	32690.498707	853207	57	85	515	0.963154	0.995909	0.839813	134.491	2018.59	2.33011	61	537.097717	537.409729	0.872786	0.872786	0.0146302
29	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	32781.882103	32761.468793	72898.2	49	51	48	0.905877	0.974646	0.800385	20.9621	315.51	2.52466	49	669.898193	670.176575	0.460345	0.460345	0.110694
30	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	33324.047361	33303.204538	42490.5	41	48	90	0.987794	0.984844	0.945731	377.693	544.089	1.67277	48	695.099243	695.449463	0.894951	0.894951	0.0112135
31	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	33325.076141	33304.233318	342100	41	69	438	0.984869	0.993334	0.727849	242.9	1253.1	1.90025	52	641.705750	642.050720	0.916549	0.916549	0.00314556
32	/Users/kyowonjeong/Data/mzml/Decoy/new/res35noise0centroid.mzml	0	nan	0	60.000000	38	33326.090675	33305.247852	308640	41	65	395	0.985864	0.994551	0.759858	180.604	1098.22	1.80133	58	575.426758	575.752014	0.921787	0.921787	0.000918274
